Train No,Train Name,SEQ,Station Code,Station Name,Arrival time,Departure Time,Distance,Source Station,Source Station Name,Destination Station,Destination Station Name
57226,VSKP-BZA-PAS,1,VSKP,VISAKHAPATNA,09:40:00,09:40:00,0,VSKP,VISAKHAPATNAM,BZA,VIJAYWADA JN.
57229,MTM-VSKP PAS,35,VSKP,VISAKHAPATNA,08:50:00,08:50:00,372,MTM,MACHILIPATNAM,VSKP,VISAKHAPATNAM
57230,VSKP-MTM PAS,1,VSKP,VISAKHAPATNA,20:05:00,20:05:00,0,VSKP,VISAKHAPATNAM,MTM,MACHILIPATNAM
57255,COA-VSKP PSG,23,VSKP,VISAKHAPATNA,09:45:00,09:45:00,168,COA,KAKINADA PORT,VSKP,VISAKHAPATNAM
57256,VSKP-COA PSG,1,VSKP,VISAKHAPATNA,17:10:00,17:10:00,0,VSKP,VISAKHAPATNAM,COA,KAKINADA PORT
57271,BZA-RGDA PAS,47,VSKP,VISAKHAPATNA,08:05:00,09:10:00,350,BZA,VIJAYWADA JN.,RGDA,RAYAGADA JN.
57272,RGDA-BZA PAS,23,VSKP,VISAKHAPATNA,19:55:00,20:15:00,184,RGDA,RAYAGADA JN.,BZA,VIJAYWADA JN.
58501,VSKP-KRDL PA,1,VSKP,VISAKHAPATNA,06:50:00,06:50:00,0,VSKP,VISAKHAPATNAM,KRDL,KIRANDUL
58502,KRDL-VSKP,53,VSKP,VISAKHAPATNA,20:10:00,20:10:00,471,KRDL,KIRANDUL,VSKP,VISAKHAPATNAM
58503,RGDA-VSKP PA,25,VSKP,VISAKHAPATNA,09:20:00,09:20:00,184,RGDA,RAYAGADA JN.,VSKP,VISAKHAPATNAM
58504,VSKP-RGDA PA,1,VSKP,VISAKHAPATNA,16:55:00,16:55:00,0,VSKP,VISAKHAPATNAM,RGDA,RAYAGADA JN.
58505,GNPR-VSKP PA,28,VSKP,VISAKHAPATNA,21:20:00,21:20:00,267,GNPR,GUNUPUR,VSKP,VISAKHAPATNAM
58506,VSKP-GNPR PA,1,VSKP,VISAKHAPATNA,05:20:00,05:20:00,0,VSKP,VISAKHAPATNAM,GNPR,GUNUPUR
58525,PSA-VSKP PAS,27,VSKP,VISAKHAPATNA,14:45:00,14:45:00,202,PSA,PALASA,VSKP,VISAKHAPATNAM
58526,VSKP-PSA PAS,1,VSKP,VISAKHAPATNA,11:35:00,11:35:00,0,VSKP,VISAKHAPATNAM,PSA,PALASA
58527,R-VSKP PASS,56,VSKP,VISAKHAPATNA,21:35:00,21:35:00,528,R,RAIPUR JN.,VSKP,VISAKHAPATNAM
58528,VSKP-R PASSE,1,VSKP,VISAKHAPATNA,02:55:00,02:55:00,0,VSKP,VISAKHAPATNAM,R,RAIPUR JN.
58529,DURG-VSKP PA,64,VSKP,VISAKHAPATNA,11:55:00,11:55:00,570,DURG,DURG,VSKP,VISAKHAPATNAM
58530,VSKP-DURG PA,1,VSKP,VISAKHAPATNA,21:40:00,21:40:00,0,VSKP,VISAKHAPATNAM,DURG,DURG
58531,PSA-VSKP PAS,27,VSKP,VISAKHAPATNA,10:00:00,10:00:00,202,PSA,PALASA,VSKP,VISAKHAPATNAM
58532,VSKP - PSA P,1,VSKP,VISAKHAPATNA,18:35:00,18:35:00,0,VSKP,VISAKHAPATNAM,PSA,PALASA
58537,KRPU-VSKP PA,39,VSKP,VISAKHAPATNA,15:45:00,15:45:00,357,KRPU,KORAPUT JN.,VSKP,VISAKHAPATNAM
58538,VSKP-KRPU PA,1,VSKP,VISAKHAPATNA,07:05:00,07:05:00,0,VSKP,VISAKHAPATNAM,KRPU,KORAPUT JN.
67247,RVD-VSKP PAS,17,VSKP,VISAKHAPATNA,16:40:00,16:40:00,121,RVD,RAVIKAMPADU,VSKP,VISAKHAPATNAM
67291,VZM-VSKP MEM,10,VSKP,VISAKHAPATNA,07:30:00,07:30:00,60,VZM,VIZIANAGARAM JN.,VSKP,VISAKHAPATNAM
67292,VSKP-VZM MEM,1,VSKP,VISAKHAPATNA,18:05:00,18:05:00,0,VSKP,VISAKHAPATNAM,VZM,VIZIANAGARAM JN.
67293,VZM-VSKP MEM,10,VSKP,VISAKHAPATNA,17:40:00,17:40:00,60,VZM,VIZIANAGARAM JN.,VSKP,VISAKHAPATNAM
67294,VSKP-CHE MEM,1,VSKP,VISAKHAPATNA,08:05:00,08:05:00,0,VSKP,VISAKHAPATNAM,CHE,SRIKAKULAM ROAD
67296,VSKP-TUNI PA,1,VSKP,VISAKHAPATNA,18:20:00,18:20:00,0,VSKP,VISAKHAPATNAM,TUNI,TUNI
78531,VZM-VSKP PAS,10,VSKP,VISAKHAPATNA,09:55:00,00:00:00,60,VZM,VIZIANAGARAM JN.,VSKP,VISAKHAPATNAM
