Train No,Train Name,SEQ,Station Code,Station Name,Arrival time,Departure Time,Distance,Source Station,Source Station Name,Destination Station,Destination Station Name
22644,PNBE ERS EXP,22,BBS,BHUBANESWAR,06:40:00,06:45:00,864,PNBE,PATNA JN.,ERS,ERNAKULAM. JN
22805,BBS ANVT WEE,1,BBS,BHUBANESWAR,12:45:00,12:45:00,0,BBS,BHUBANESWAR,ANVT,ANAND VIHAR TERMINAL
22806,ANVT BBS WEE,18,BBS,BHUBANESWAR,16:05:00,16:05:00,1869,ANVT,ANAND VIHAR TERMINAL,BBS,BHUBANESWAR
22807,SRC - MAS AC,6,BBS,BHUBANESWAR,01:15:00,01:20:00,434,SRC,SANTRAGACHI JN.,MAS,CHENNAI CENTRAL
22808,MAS - SRC AC,13,BBS,BHUBANESWAR,03:40:00,03:45:00,1222,MAS,CHENNAI CENTRAL,SRC,SANTRAGACHI JN.
22809,PRDP-VSKP WE,5,BBS,BHUBANESWAR,01:15:00,01:20:00,109,PRDP,PARADEEP,VSKP,VISAKHAPATNAM
22810,VSKP-PRDP WE,13,BBS,BHUBANESWAR,06:50:00,06:55:00,442,VSKP,VISAKHAPATNAM,PRDP,PARADEEP
22811,BBS-NDLS RAJ,1,BBS,BHUBANESWAR,11:40:00,11:40:00,0,BBS,BHUBANESWAR,NDLS,NEW DELHI
22812,NDLS-BBS RAJ,14,BBS,BHUBANESWAR,15:50:00,15:50:00,1718,NDLS,NEW DELHI,BBS,BHUBANESWAR
22817,HWH-MYS SF E,6,BBS,BHUBANESWAR,22:30:00,22:35:00,442,HWH,HOWRAH JN.,MYS,MYSORE JN.
22818,MYS - HWH SF,17,BBS,BHUBANESWAR,07:20:00,07:25:00,1666,MYS,MYSORE JN.,HWH,HOWRAH JN.
22819,BBS-VSKP SF,1,BBS,BHUBANESWAR,07:35:00,07:35:00,0,BBS,BHUBANESWAR,VSKP,VISAKHAPATNAM
22823,BBS-NDLS RAJ,1,BBS,BHUBANESWAR,09:30:00,09:30:00,0,BBS,BHUBANESWAR,NDLS,NEW DELHI
22824,NDLS-BBS RAJ,13,BBS,BHUBANESWAR,17:25:00,17:25:00,1802,NDLS,NEW DELHI,BBS,BHUBANESWAR
22825,SHM - MAS S/,9,BBS,BHUBANESWAR,18:45:00,18:50:00,439,SHM,SHALIMAR,MAS,CHENNAI CENTRAL
22826,MAS - SHM EX,16,BBS,BHUBANESWAR,13:55:00,14:00:00,1222,MAS,CHENNAI CENTRAL,SHM,SHALIMAR
22827,PURI-SURAT S,3,BBS,BHUBANESWAR,20:55:00,21:00:00,62,PURI,PURI,ST,SURAT
22828,SURAT-PURI S,16,BBS,BHUBANESWAR,14:30:00,14:35:00,1696,ST,SURAT,PURI,PURI
22831,HWH-SRI SATY,3,BBS,BHUBANESWAR,21:55:00,22:00:00,442,HWH,HOWRAH JN.,SSPN,SRI SATYA SAI PRASANTI NILAYAM
22832,SRISATYASAIP,17,BBS,BHUBANESWAR,07:20:00,07:25:00,1323,SSPN,SRI SATYA SAI PRASANTI NILAYAM,HWH,HOWRAH JN.
22833,BBS-KJM WEEK,1,BBS,BHUBANESWAR,12:00:00,12:00:00,0,BBS,BHUBANESWAR,KJM,KRISHNA RAJA PURAM
22834,KJM-BBS WEEK,19,BBS,BHUBANESWAR,17:50:00,17:50:00,1514,KJM,KRISHNA RAJA PURAM,BBS,BHUBANESWAR
22835,SHM-PURI S/F,9,BBS,BHUBANESWAR,03:50:00,03:55:00,439,SHM,SHALIMAR,PURI,PURI
22836,PURI-SHM S/F,3,BBS,BHUBANESWAR,23:30:00,23:35:00,62,PURI,PURI,SHM,SHALIMAR
22839,ROU-BBS INTE,12,BBS,BHUBANESWAR,12:30:00,12:30:00,417,ROU,ROURKELA,BBS,BHUBANESWAR
22840,BBS-ROU INTE,1,BBS,BHUBANESWAR,14:10:00,14:10:00,0,BBS,BHUBANESWAR,ROU,ROURKELA
22849,SHM - SC S/F,8,BBS,BHUBANESWAR,18:45:00,18:50:00,439,SHM,SHALIMAR,SC,SECUNDERABAD JN.
22850,SC-SHM SF EX,13,BBS,BHUBANESWAR,00:55:00,01:00:00,1150,SC,SECUNDERABAD JN.,SHM,SHALIMAR
22851,SRC - MAQ SF,7,BBS,BHUBANESWAR,21:55:00,22:00:00,434,SRC,SANTRAGACHI JN.,MAQ,MANGALORE CENTRAL
22852,MAQ - SRC SF,34,BBS,BHUBANESWAR,11:25:00,11:30:00,2052,MAQ,MANGALORE CENTRAL,SRC,SANTRAGACHI JN.
22853,SHM - VSKP W,8,BBS,BHUBANESWAR,01:00:00,01:05:00,439,SHM,SHALIMAR,VSKP,VISAKHAPATNAM
22854,VSKP-SHM WEK,9,BBS,BHUBANESWAR,00:55:00,01:00:00,442,VSKP,VISAKHAPATNAM,SHM,SHALIMAR
22855,SRC - TPTY W,7,BBS,BHUBANESWAR,21:55:00,22:00:00,434,SRC,SANTRAGACHI JN.,TPTY,TIRUPATI
22856,TPTY-SRC,12,BBS,BHUBANESWAR,15:30:00,15:35:00,1178,TPTY,TIRUPATI,SRC,SANTRAGACHI JN.
22863,HWH-YPR WEEK,5,BBS,BHUBANESWAR,16:40:00,16:45:00,442,HWH,HOWRAH JN.,YPR,YESVANTPUR JN.
22864,YPR-HWH AC E,8,BBS,BHUBANESWAR,09:55:00,10:00:00,1518,YPR,YESVANTPUR JN.,HWH,HOWRAH JN.
22865,LTT-PURI S/F,16,BBS,BHUBANESWAR,07:10:00,07:15:00,1791,LTT,LOKMANYA TILAK TERMINUS,PURI,PURI
22866,PURI-LTT S/F,3,BBS,BHUBANESWAR,06:55:00,07:00:00,62,PURI,PURI,LTT,LOKMANYA TILAK TERMINUS
22871,BBS-TPTY S/F,1,BBS,BHUBANESWAR,12:00:00,12:00:00,0,BBS,BHUBANESWAR,TPTY,TIRUPATI
22872,TPTY-BBS S/F,19,BBS,BHUBANESWAR,09:35:00,09:35:00,1178,TPTY,TIRUPATI,BBS,BHUBANESWAR
22873,DGHA-VSKP S/,11,BBS,BHUBANESWAR,01:00:00,01:05:00,488,DGHA,DIGHA FS,VSKP,VISAKHAPATNAM
22874,VSKP-DGHA S/,6,BBS,BHUBANESWAR,00:55:00,01:00:00,442,VSKP,VISAKHAPATNAM,DGHA,DIGHA FS
22877,HWH-ERS ANTY,6,BBS,BHUBANESWAR,23:25:00,23:30:00,442,HWH,HOWRAH JN.,ERS,ERNAKULAM. JN
22878,ERS-HWH ANTY,19,BBS,BHUBANESWAR,07:20:00,07:25:00,1852,ERS,ERNAKULAM. JN,HWH,HOWRAH JN.
22879,BBS-TPTY S/F,1,BBS,BHUBANESWAR,12:00:00,12:00:00,0,BBS,BHUBANESWAR,TPTY,TIRUPATI
22880,TPTY-BBS S/F,21,BBS,BHUBANESWAR,09:35:00,09:35:00,1178,TPTY,TIRUPATI,BBS,BHUBANESWAR
22881,PUNE-BBS S/F,14,BBS,BHUBANESWAR,17:20:00,17:20:00,1705,PUNE,PUNE JN.,BBS,BHUBANESWAR
22882,BBS-PUNE S/F,1,BBS,BHUBANESWAR,22:20:00,22:20:00,0,BBS,BHUBANESWAR,PUNE,PUNE JN.
22887,HWH-YPR-HWH,6,BBS,BHUBANESWAR,19:20:00,19:25:00,442,HWH,HOWRAH JN.,YPR,YESVANTPUR JN.
22888,YPR-HWH HUMS,15,BBS,BHUBANESWAR,11:50:00,11:55:00,1531,YPR,YESVANTPUR JN.,HWH,HOWRAH JN.
22889,DGHA-PURI S/,11,BBS,BHUBANESWAR,01:00:00,01:05:00,488,DGHA,DIGHA FS,PURI,PURI
22890,PURI-DGHA S/,3,BBS,BHUBANESWAR,00:55:00,01:00:00,62,PURI,PURI,DGHA,DIGHA FS
22909,BL  PURI S F,22,BBS,BHUBANESWAR,08:00:00,08:05:00,2010,BL,VALSAD,PURI,PURI
22910,PURI VALSAD,3,BBS,BHUBANESWAR,07:40:00,07:45:00,62,PURI,PURI,BL,VALSAD
58001,HWH  PURI  P,78,BBS,BHUBANESWAR,11:15:00,11:20:00,463,HWH,HOWRAH JN.,PURI,PURI
58002,PURI SRC  PA,14,BBS,BHUBANESWAR,11:20:00,11:25:00,62,PURI,PURI,SRC,SANTRAGACHI JN.
58005,KGP-KUR PASS,30,BBS,BHUBANESWAR,11:25:00,11:30:00,347,KGP,KHARAGPUR,KUR,KHURDA ROAD JN.
58006,KUR-KGP PASS,3,BBS,BHUBANESWAR,16:45:00,16:50:00,18,KUR,KHURDA ROAD JN.,KGP,KHARAGPUR
58131,ROU-SBP-PURI,65,BBS,BHUBANESWAR,20:55:00,21:00:00,464,ROU,ROURKELA,PURI,PURI
58132,PURI-SBP- RO,14,BBS,BHUBANESWAR,06:15:00,06:20:00,62,PURI,PURI,ROU,ROURKELA
58408,BBS-BHC PASS,1,BBS,BHUBANESWAR,17:50:00,17:50:00,0,BBS,BHUBANESWAR,BHC,BHADRAKH
58411,BBS-BAM PASS,1,BBS,BHUBANESWAR,09:55:00,09:55:00,0,BBS,BHUBANESWAR,BAM,BERHAMPUR
58412,BAM-BBS PASS,27,BBS,BHUBANESWAR,18:35:00,18:35:00,165,BAM,BERHAMPUR,BBS,BHUBANESWAR
58413,TLHR-PURI PA,29,BBS,BHUBANESWAR,09:40:00,09:45:00,139,TLHR,TALCHER,PURI,PURI
58414,PURI-TLHR PA,14,BBS,BHUBANESWAR,18:20:00,18:25:00,62,PURI,PURI,TLHR,TALCHER
58415,CTC-PURI PAS,8,BBS,BHUBANESWAR,17:45:00,17:50:00,27,CTC,CUTTACK JN.,PURI,PURI
58416,PURI-CTC PAS,14,BBS,BHUBANESWAR,09:45:00,10:05:00,62,PURI,PURI,CTC,CUTTACK JN.
